Date,open,high,low,close,volume,dividends,stock_splits,symbol
2015-10-01 00:00:00+05:30,791.7338864581036,802.0214889328711,790.0878700621408,791.4046630859375,238602,0.0,0.0,COLPAL
2015-10-05 00:00:00+05:30,802.3507459117602,803.2560348744845,792.5569278525908,793.8325805664062,184798,0.0,0.0,COLPAL
2015-10-06 00:00:00+05:30,798.3180188824858,799.9640354162641,785.191026979116,791.1578369140625,311591,0.0,0.0,COLPAL
2015-10-07 00:00:00+05:30,780.2941746782585,783.0512827129705,765.5212153956498,776.5906372070312,249448,0.0,0.0,COLPAL
2015-10-08 00:00:00+05:30,781.8579594142863,785.1499929276096,758.4022206318576,763.1756591796875,202123,0.0,0.0,COLPAL
2015-10-09 00:00:00+05:30,763.340232204401,772.5990759912468,763.340232204401,766.0972900390625,169791,0.0,0.0,COLPAL
2015-10-12 00:00:00+05:30,771.9818781978977,773.2575311697525,748.3203867286124,756.6327514648438,312385,0.0,0.0,COLPAL
2015-10-13 00:00:00+05:30,760.4596718653165,760.4596718653165,748.937555624933,754.6163330078125,249784,0.0,0.0,COLPAL
2015-10-14 00:00:00+05:30,755.4393467678883,755.4393467678883,743.9995111821771,748.9375610351562,162289,0.0,0.0,COLPAL
2015-10-15 00:00:00+05:30,754.6163078795917,757.1676134406008,744.8224893084172,746.468505859375,155780,0.0,0.0,COLPAL
2015-10-16 00:00:00+05:30,748.9375306858117,752.2295637877273,736.6746872882004,746.468505859375,393256,0.0,0.0,COLPAL
2015-10-19 00:00:00+05:30,752.9702551052405,776.919774676554,748.9374946564238,774.3684692382812,360860,0.0,0.0,COLPAL
2015-10-20 00:00:00+05:30,776.6729794960227,777.7428802901449,766.2207635451057,771.3234252929688,171996,0.0,0.0,COLPAL
2015-10-21 00:00:00+05:30,773.6276326637299,780.7054824015114,772.3108397649335,777.9484252929688,184786,0.0,0.0,COLPAL
2015-10-23 00:00:00+05:30,778.8127367814808,790.0468200618199,771.9406376353005,774.3273315429688,241267,0.0,0.0,COLPAL
2015-10-26 00:00:00+05:30,775.273827231572,775.9322238324143,761.2826859758005,768.3193969726562,314299,0.0,0.0,COLPAL
