date,open,high,low,close,volume,symbol
2005-01-03,128.0,133.0,127.1,128.2,1579957.0,BAJFINANCE
2005-01-04,128.3,130.05,127.0,127.05,696014.0,BAJFINANCE
2005-01-05,128.0,130.0,123.0,125.0,1408120.0,BAJFINANCE
2005-01-06,121.0,125.0,121.0,122.35,245771.0,BAJFINANCE
2005-01-07,124.0,126.7,120.0,123.19,285270.0,BAJFINANCE
2005-01-10,123.0,132.0,123.0,127.0,672607.0,BAJFINANCE
2005-01-11,126.1,127.25,118.0,120.55,640310.0,BAJFINANCE
2005-01-12,121.0,124.0,120.0,121.75,572003.0,BAJFINANCE
2005-01-13,119.69,124.0,119.1,121.65,265352.0,BAJFINANCE
2005-01-14,120.6,121.9,120.0,121.2,101392.0,BAJFINANCE
2005-01-17,121.0,124.0,120.04,120.35,391051.0,BAJFINANCE
2005-01-18,121.95,128.5,121.09,127.9,704904.0,BAJFINANCE
2005-01-19,129.0,137.1,127.0,133.25,2407521.0,BAJFINANCE
2005-01-20,134.0,134.0,127.0,127.65,240707.0,BAJFINANCE
2005-01-24,129.9,130.0,127.6,128.0,433250.0,BAJFINANCE
2005-01-25,128.0,130.0,127.05,129.35,248472.0,BAJFINANCE
2005-01-27,130.5,133.95,129.0,132.55,1163249.0,BAJFINANCE
2005-01-28,134.0,134.5,132.7,133.65,533179.0,BAJFINANCE
2005-01-31,132.0,134.9,132.0,133.05,794367.0,BAJFINANCE
2005-02-01,136.95,137.0,134.0,134.15,511460.0,BAJFINANCE
2005-02-02,135.0,136.0,134.15,135.3,632996.0,BAJFINANCE
2005-02-03,135.0,136.0,133.0,134.55,808434.0,BAJFINANCE
2005-02-04,140.0,140.0,134.05,135.7,413219.0,BAJFINANCE
2005-02-07,137.0,138.0,134.05,136.35,455982.0,BAJFINANCE
2005-02-08,134.0,135.75,134.0,135.5,231254.0,BAJFINANCE
2005-02-09,135.0,139.0,135.0,135.1,420647.0,BAJFINANCE
2005-02-10,135.0,136.0,135.0,135.25,124911.0,BAJFINANCE
2005-02-11,135.25,144.0,135.25,139.6,2130579.0,BAJFINANCE
2005-02-14,144.95,144.95,138.0,140.15,1007616.0,BAJFINANCE
2005-02-15,138.95,142.4,138.4,142.25,1143781.0,BAJFINANCE
2005-02-16,143.95,146.9,143.0,143.95,1386964.0,BAJFINANCE
2005-02-17,143.0,145.5,140.25,143.5,596760.0,BAJFINANCE
2005-02-18,142.3,144.0,141.1,141.3,163172.0,BAJFINANCE
2005-02-21,143.0,145.0,141.3,141.55,348851.0,BAJFINANCE
2005-02-22,139.0,153.9,139.0,152.0,2509813.0,BAJFINANCE
2005-02-23,155.0,163.0,151.8,161.25,4070189.0,BAJFINANCE
2005-02-24,163.9,168.0,163.0,166.55,2887698.0,BAJFINANCE
2005-02-25,169.8,169.8,161.0,165.45,1577369.0,BAJFINANCE
2005-02-28,161.0,165.85,156.05,157.75,1098993.0,BAJFINANCE
2005-03-01,156.14,159.6,156.14,157.45,655502.0,BAJFINANCE
2005-03-02,158.05,158.05,155.3,155.44,357291.0,BAJFINANCE
2005-03-03,158.1,160.01,156.0,158.0,636934.0,BAJFINANCE
2005-03-04,156.0,159.5,152.55,157.45,490642.0,BAJFINANCE
2005-03-07,159.9,167.0,159.9,160.55,705016.0,BAJFINANCE
2005-03-08,158.3,161.0,158.2,159.35,413557.0,BAJFINANCE
2005-03-09,160.01,164.0,155.0,157.65,637497.0,BAJFINANCE
2005-03-10,155.09,159.5,155.09,159.0,643123.0,BAJFINANCE
2005-03-11,156.0,171.9,156.0,168.15,1959192.0,BAJFINANCE
2005-03-14,168.1,175.0,168.0,171.2,2296789.0,BAJFINANCE
2005-03-15,173.0,174.0,170.0,171.85,934695.0,BAJFINANCE
2005-03-16,172.0,175.75,172.0,173.4,1203873.0,BAJFINANCE
2005-03-17,176.4,176.4,170.0,171.8,1091003.0,BAJFINANCE
2005-03-18,163.35,169.0,163.35,165.05,443603.0,BAJFINANCE
2005-03-21,188.5,188.5,160.75,161.7,232492.0,BAJFINANCE
2005-03-22,164.9,164.9,160.01,160.2,409618.0,BAJFINANCE
2005-03-23,160.01,160.01,155.09,155.65,420084.0,BAJFINANCE
2005-03-24,160.01,164.5,155.0,159.05,793354.0,BAJFINANCE
2005-03-28,162.0,166.5,157.25,162.75,1160548.0,BAJFINANCE
2005-03-29,158.0,165.0,158.0,163.35,644924.0,BAJFINANCE
2005-03-30,163.0,169.0,163.0,167.95,301700.0,BAJFINANCE
2005-03-31,168.45,168.45,166.25,166.55,61668.0,BAJFINANCE
2005-04-01,167.0,172.0,167.0,171.45,517312.0,BAJFINANCE
2005-04-04,169.2,170.0,167.0,168.8,462959.0,BAJFINANCE
2005-04-05,168.0,171.0,168.0,168.95,530591.0,BAJFINANCE
2005-04-06,168.0,168.1,164.5,165.8,514161.0,BAJFINANCE
2005-04-07,167.0,168.0,166.0,167.0,95653.0,BAJFINANCE
2005-04-08,166.15,171.5,166.0,169.95,513373.0,BAJFINANCE
2005-04-11,170.0,173.0,169.1,171.0,301475.0,BAJFINANCE
2005-04-12,171.0,183.0,171.0,179.05,778500.0,BAJFINANCE
2005-04-13,182.5,182.5,176.0,176.7,145054.0,BAJFINANCE
2005-04-15,174.1,176.9,173.0,173.0,183878.0,BAJFINANCE
2005-04-18,170.0,170.8,166.0,168.2,171837.0,BAJFINANCE
2005-04-19,169.0,170.9,169.0,169.0,238569.0,BAJFINANCE
2005-04-20,165.5,172.5,165.5,170.75,515399.0,BAJFINANCE
2005-04-21,170.0,175.0,170.0,174.75,627481.0,BAJFINANCE
2005-04-22,175.0,184.0,175.0,180.25,509772.0,BAJFINANCE
2005-04-25,182.35,182.35,179.3,180.6,131888.0,BAJFINANCE
2005-04-26,183.9,184.0,180.0,182.9,392739.0,BAJFINANCE
2005-04-27,184.9,190.0,184.0,185.15,856823.0,BAJFINANCE
2005-04-28,189.0,189.0,184.9,185.95,203346.0,BAJFINANCE
2005-04-29,185.0,188.0,183.0,183.1,319030.0,BAJFINANCE
2005-05-02,184.0,184.95,178.8,180.75,159571.0,BAJFINANCE
2005-05-03,180.9,185.0,180.9,184.5,109382.0,BAJFINANCE
2005-05-04,180.0,184.5,179.0,179.5,396452.0,BAJFINANCE
2005-05-05,181.0,183.85,180.55,182.1,158671.0,BAJFINANCE
2005-05-06,184.0,197.0,184.0,193.8,1615742.0,BAJFINANCE
2005-05-09,195.06,203.4,195.06,201.2,1725011.0,BAJFINANCE
2005-05-10,203.9,205.0,199.2,199.9,1465624.0,BAJFINANCE
2005-05-11,202.9,208.5,202.05,206.7,1673584.0,BAJFINANCE
2005-05-12,209.95,214.0,204.0,208.25,888107.0,BAJFINANCE
2005-05-13,208.0,212.0,204.5,209.65,786490.0,BAJFINANCE
