date,open,high,low,close,volume,symbol
2005-01-03,144.2,144.85,143.6,144.35,304222.0,HINDUNILVR
2005-01-04,145.0,148.65,144.5,146.2,560947.0,HINDUNILVR
2005-01-05,146.5,148.0,143.0,144.65,711081.0,HINDUNILVR
2005-01-06,144.5,144.95,140.3,141.75,443657.0,HINDUNILVR
2005-01-07,141.75,142.7,140.4,140.95,218644.0,HINDUNILVR
2005-01-10,141.5,143.9,141.2,142.75,570226.0,HINDUNILVR
2005-01-11,143.5,144.0,140.25,141.1,440783.0,HINDUNILVR
2005-01-12,141.4,141.85,136.3,138.95,928226.0,HINDUNILVR
2005-01-13,141.0,141.0,138.0,140.0,377948.0,HINDUNILVR
2005-01-14,140.75,140.75,139.0,140.1,474788.0,HINDUNILVR
2005-01-17,139.8,143.9,138.55,140.15,1070797.0,HINDUNILVR
2005-01-18,141.45,143.8,140.0,142.9,723143.0,HINDUNILVR
2005-01-19,142.0,143.5,141.1,141.9,380939.0,HINDUNILVR
2005-01-20,141.1,143.0,140.7,142.1,529906.0,HINDUNILVR
2005-01-24,142.0,149.0,141.9,147.8,811301.0,HINDUNILVR
2005-01-25,147.0,149.75,146.5,149.4,720029.0,HINDUNILVR
2005-01-27,149.9,152.9,148.55,151.35,795446.0,HINDUNILVR
2005-01-28,151.85,154.15,151.1,153.1,537871.0,HINDUNILVR
2005-01-31,158.2,160.3,153.0,159.85,1095117.0,HINDUNILVR
2005-02-01,160.8,170.0,157.65,168.8,2314822.0,HINDUNILVR
2005-02-02,168.4,168.8,163.1,164.55,501479.0,HINDUNILVR
2005-02-03,166.0,167.0,162.05,165.45,361353.0,HINDUNILVR
2005-02-04,168.0,170.5,165.1,165.75,607712.0,HINDUNILVR
2005-02-07,167.0,168.0,161.25,162.15,360583.0,HINDUNILVR
2005-02-08,162.0,162.75,158.5,160.05,318658.0,HINDUNILVR
2005-02-09,160.0,163.45,159.0,160.4,633730.0,HINDUNILVR
2005-02-10,159.9,162.0,153.0,154.0,1369268.0,HINDUNILVR
2005-02-11,152.0,157.5,151.4,155.3,2595024.0,HINDUNILVR
2005-02-14,153.55,158.0,151.05,151.9,1247574.0,HINDUNILVR
2005-02-15,152.0,154.1,151.05,152.05,542849.0,HINDUNILVR
2005-02-16,153.0,153.45,143.2,143.9,980527.0,HINDUNILVR
2005-02-17,145.0,146.35,144.0,144.9,390633.0,HINDUNILVR
2005-02-18,145.9,146.25,143.1,144.75,444717.0,HINDUNILVR
2005-02-21,145.1,146.0,141.25,142.4,234493.0,HINDUNILVR
2005-02-22,143.2,146.35,141.3,145.25,592509.0,HINDUNILVR
2005-02-23,145.05,146.5,143.15,143.95,344771.0,HINDUNILVR
2005-02-24,141.05,145.9,141.05,142.85,1663696.0,HINDUNILVR
2005-02-25,143.0,144.0,140.0,140.5,384121.0,HINDUNILVR
2005-02-28,141.0,145.6,139.2,144.0,782033.0,HINDUNILVR
2005-03-01,143.0,147.0,143.0,146.05,1025675.0,HINDUNILVR
2005-03-02,145.0,147.45,145.0,146.75,517585.0,HINDUNILVR
2005-03-03,146.55,151.8,146.05,150.4,3003139.0,HINDUNILVR
2005-03-04,151.2,151.45,148.1,149.7,1033363.0,HINDUNILVR
2005-03-07,150.65,150.65,142.5,144.95,1156177.0,HINDUNILVR
2005-03-08,146.0,147.0,144.8,146.15,599455.0,HINDUNILVR
2005-03-09,147.2,147.2,142.05,144.1,541998.0,HINDUNILVR
2005-03-10,144.5,146.0,142.1,144.1,491109.0,HINDUNILVR
2005-03-11,144.95,145.1,143.0,143.3,249751.0,HINDUNILVR
2005-03-14,144.8,144.8,135.0,138.6,743612.0,HINDUNILVR
2005-03-15,138.9,139.8,135.05,135.7,506688.0,HINDUNILVR
2005-03-16,137.9,138.0,135.0,135.35,393642.0,HINDUNILVR
2005-03-17,136.2,140.0,133.4,133.9,394338.0,HINDUNILVR
2005-03-18,133.0,134.0,132.0,133.45,380134.0,HINDUNILVR
2005-03-21,132.5,133.0,129.65,130.2,357948.0,HINDUNILVR
2005-03-22,130.0,132.4,128.5,130.6,855282.0,HINDUNILVR
2005-03-23,131.0,134.5,129.95,133.55,1038468.0,HINDUNILVR
2005-03-24,133.95,136.75,133.5,134.55,427641.0,HINDUNILVR
2005-03-28,135.0,136.0,133.65,135.0,183296.0,HINDUNILVR
2005-03-29,135.45,136.0,131.0,131.55,297954.0,HINDUNILVR
2005-03-30,131.1,132.2,129.5,131.3,210087.0,HINDUNILVR
2005-03-31,131.95,133.95,131.0,131.75,227277.0,HINDUNILVR
2005-04-01,132.5,133.7,130.9,132.2,278426.0,HINDUNILVR
2005-04-04,132.0,133.4,130.7,131.15,207028.0,HINDUNILVR
2005-04-05,132.0,132.0,129.15,129.5,380761.0,HINDUNILVR
2005-04-06,130.0,133.4,130.0,132.85,301118.0,HINDUNILVR
2005-04-07,134.0,134.6,132.0,132.5,553142.0,HINDUNILVR
2005-04-08,131.8,133.0,131.55,131.75,137641.0,HINDUNILVR
2005-04-11,130.8,132.65,129.35,130.05,158038.0,HINDUNILVR
2005-04-12,130.5,133.5,129.75,132.65,279167.0,HINDUNILVR
2005-04-13,132.7,135.8,132.7,134.7,373588.0,HINDUNILVR
2005-04-15,133.1,134.8,131.25,132.3,543289.0,HINDUNILVR
2005-04-18,131.9,132.4,129.1,129.55,321800.0,HINDUNILVR
2005-04-19,130.0,131.7,126.3,127.55,251884.0,HINDUNILVR
2005-04-20,127.0,131.5,126.35,131.05,545475.0,HINDUNILVR
2005-04-21,130.6,131.45,129.5,130.9,187560.0,HINDUNILVR
2005-04-22,132.95,133.0,131.0,132.2,257600.0,HINDUNILVR
2005-04-25,132.2,134.4,130.85,133.65,397437.0,HINDUNILVR
2005-04-26,134.5,139.0,133.6,137.95,531850.0,HINDUNILVR
2005-04-27,138.0,143.75,136.0,142.75,1297205.0,HINDUNILVR
2005-04-28,142.9,144.7,138.3,143.4,974563.0,HINDUNILVR
2005-04-29,145.0,145.0,135.65,137.7,1171701.0,HINDUNILVR
2005-05-02,137.8,138.0,131.15,133.05,508501.0,HINDUNILVR
2005-05-03,133.9,137.0,131.0,132.75,704759.0,HINDUNILVR
2005-05-04,133.1,135.9,132.25,135.45,409948.0,HINDUNILVR
2005-05-05,136.5,136.9,134.0,134.95,344260.0,HINDUNILVR
2005-05-06,135.0,135.0,132.5,134.2,321929.0,HINDUNILVR
2005-05-09,134.7,135.1,132.0,132.6,359431.0,HINDUNILVR
2005-05-10,133.0,134.2,132.25,132.9,487879.0,HINDUNILVR
2005-05-11,132.0,132.95,131.1,131.75,311842.0,HINDUNILVR
2005-05-12,132.85,132.85,130.05,130.45,511359.0,HINDUNILVR
2005-05-13,130.6,131.9,130.5,131.35,328109.0,HINDUNILVR
2005-05-16,131.8,133.2,131.1,132.85,360428.0,HINDUNILVR
2005-05-17,133.7,134.0,130.9,131.55,1243755.0,HINDUNILVR
2005-05-18,132.0,132.35,130.0,130.5,551457.0,HINDUNILVR
2005-05-19,131.8,131.8,130.0,130.25,356144.0,HINDUNILVR
2005-05-20,131.0,131.0,129.3,130.0,206146.0,HINDUNILVR
2005-05-23,130.7,130.7,127.5,127.85,406360.0,HINDUNILVR
2005-05-24,129.25,129.5,127.85,129.15,664153.0,HINDUNILVR
2005-05-25,129.9,130.1,128.5,129.35,261265.0,HINDUNILVR
2005-05-26,129.85,132.5,128.8,131.65,485236.0,HINDUNILVR
2005-05-27,132.0,141.5,131.5,138.1,1874154.0,HINDUNILVR
2005-05-30,140.0,145.25,139.5,144.5,1274844.0,HINDUNILVR
2005-05-31,145.0,145.0,141.3,143.15,460751.0,HINDUNILVR
2005-06-01,145.95,150.5,143.0,149.35,1600221.0,HINDUNILVR
2005-06-02,150.0,150.0,146.1,147.15,1319533.0,HINDUNILVR
2005-06-03,147.1,147.9,145.55,146.75,876683.0,HINDUNILVR
2005-06-06,151.75,152.0,146.7,147.55,934701.0,HINDUNILVR
2005-06-07,146.0,146.0,142.55,143.5,470853.0,HINDUNILVR
2005-06-08,143.6,145.0,141.0,142.5,806614.0,HINDUNILVR
2005-06-09,143.9,148.5,142.5,147.8,1115369.0,HINDUNILVR
2005-06-10,148.5,148.5,144.5,145.4,249733.0,HINDUNILVR
2005-06-13,146.9,150.0,145.0,149.6,644329.0,HINDUNILVR
2005-06-14,149.0,149.6,146.5,147.95,238450.0,HINDUNILVR
2005-06-15,148.0,149.95,148.0,149.2,1178010.0,HINDUNILVR
2005-06-16,149.5,151.65,147.9,148.45,732801.0,HINDUNILVR
2005-06-17,148.25,150.0,145.7,149.1,301442.0,HINDUNILVR
2005-06-20,150.15,152.0,146.6,148.15,390633.0,HINDUNILVR
2005-06-21,149.0,153.8,148.0,152.6,1082844.0,HINDUNILVR
2005-06-22,154.0,155.95,152.6,154.2,902478.0,HINDUNILVR
2005-06-23,155.0,156.8,153.3,155.1,733726.0,HINDUNILVR
2005-06-24,155.4,164.8,153.55,163.3,2142982.0,HINDUNILVR
2005-06-27,163.0,165.4,161.1,162.45,1612363.0,HINDUNILVR
2005-06-28,163.0,168.4,162.25,162.75,1401660.0,HINDUNILVR
2005-06-29,164.1,164.7,161.05,162.7,602007.0,HINDUNILVR
2005-06-30,164.1,165.5,160.6,163.6,761676.0,HINDUNILVR
2005-07-01,164.75,167.75,163.15,164.9,1031066.0,HINDUNILVR
2005-07-04,165.0,166.1,163.6,164.2,357190.0,HINDUNILVR
2005-07-05,165.7,166.0,160.7,162.9,880415.0,HINDUNILVR
2005-07-06,163.5,164.5,162.15,162.9,579482.0,HINDUNILVR
2005-07-07,164.0,164.5,156.3,158.3,643996.0,HINDUNILVR
2005-07-08,162.0,162.0,157.1,158.65,383531.0,HINDUNILVR
2005-07-11,159.85,160.85,157.1,158.05,628886.0,HINDUNILVR
2005-07-12,160.0,161.9,158.1,158.65,1194820.0,HINDUNILVR
2005-07-13,159.0,160.0,156.1,156.7,507951.0,HINDUNILVR
2005-07-14,158.5,158.5,155.0,155.35,885290.0,HINDUNILVR
2005-07-15,155.55,157.15,152.2,156.1,400139.0,HINDUNILVR
2005-07-18,157.85,160.85,157.0,159.65,841925.0,HINDUNILVR
2005-07-19,161.0,162.45,159.25,159.8,1220969.0,HINDUNILVR
2005-07-20,160.5,161.0,158.7,160.15,599322.0,HINDUNILVR
2005-07-21,161.0,161.95,157.2,158.55,502718.0,HINDUNILVR
2005-07-22,159.0,162.4,157.8,161.75,308111.0,HINDUNILVR
2005-07-25,162.9,165.85,162.55,164.55,999608.0,HINDUNILVR
2005-07-26,164.9,165.85,162.6,163.8,507792.0,HINDUNILVR
2005-07-27,163.25,164.65,162.65,164.25,138917.0,HINDUNILVR
2005-07-29,165.0,170.0,163.8,166.95,1133004.0,HINDUNILVR
2005-08-01,168.9,174.9,168.9,174.05,949916.0,HINDUNILVR
2005-08-02,175.5,175.5,169.55,171.25,1870498.0,HINDUNILVR
2005-08-03,172.5,173.0,166.55,167.45,912950.0,HINDUNILVR
2005-08-04,168.0,169.4,167.0,167.5,4249983.0,HINDUNILVR
2005-08-05,168.1,169.0,164.4,165.15,1144636.0,HINDUNILVR
2005-08-08,165.0,165.25,161.05,161.55,817407.0,HINDUNILVR
2005-08-09,162.45,163.7,159.5,160.2,554299.0,HINDUNILVR
2005-08-10,161.5,164.4,160.55,161.75,1256373.0,HINDUNILVR
2005-08-11,162.4,171.25,161.0,169.3,12131630.0,HINDUNILVR
2005-08-12,169.9,171.5,167.25,168.55,965893.0,HINDUNILVR
2005-08-16,170.0,172.0,167.05,171.55,776783.0,HINDUNILVR
2005-08-17,170.0,173.8,170.0,172.75,871760.0,HINDUNILVR
2005-08-18,173.5,173.5,168.1,168.6,552974.0,HINDUNILVR
2005-08-19,169.4,170.8,167.25,167.55,475569.0,HINDUNILVR
2005-08-22,169.0,171.0,165.65,166.55,5419276.0,HINDUNILVR
2005-08-23,166.9,167.4,164.15,164.55,689648.0,HINDUNILVR
2005-08-24,165.5,165.5,161.0,161.95,3521404.0,HINDUNILVR
2005-08-25,162.9,164.0,161.5,162.35,623056.0,HINDUNILVR
2005-08-26,164.0,165.45,162.1,163.3,983343.0,HINDUNILVR
2005-08-29,163.25,164.0,159.8,161.95,331595.0,HINDUNILVR
2005-08-30,164.45,167.4,164.1,166.55,405688.0,HINDUNILVR
2005-08-31,166.9,166.9,164.25,165.65,286132.0,HINDUNILVR
2005-09-01,166.75,169.0,165.0,168.15,457880.0,HINDUNILVR
2005-09-02,169.8,169.8,165.2,169.0,389233.0,HINDUNILVR
2005-09-05,169.5,170.4,165.5,166.3,563427.0,HINDUNILVR
2005-09-06,167.2,167.85,164.65,165.55,261967.0,HINDUNILVR
2005-09-08,168.0,169.0,166.15,166.45,671807.0,HINDUNILVR
2005-09-09,166.5,167.2,165.15,165.55,269021.0,HINDUNILVR
2005-09-12,166.15,170.6,166.0,169.15,1678316.0,HINDUNILVR
2005-09-13,170.9,171.0,169.0,169.45,982788.0,HINDUNILVR
2005-09-14,170.0,172.8,166.25,171.65,1378829.0,HINDUNILVR
2005-09-15,172.0,176.7,172.0,176.1,1238758.0,HINDUNILVR
2005-09-16,176.5,178.9,175.55,177.55,1055052.0,HINDUNILVR
2005-09-19,179.9,180.0,176.05,177.05,518441.0,HINDUNILVR
2005-09-20,178.45,179.0,173.6,175.05,516995.0,HINDUNILVR
2005-09-21,172.5,174.25,167.0,170.9,790278.0,HINDUNILVR
2005-09-22,171.0,171.2,164.0,164.9,798391.0,HINDUNILVR
2005-09-23,168.0,173.15,165.5,169.95,1140734.0,HINDUNILVR
2005-09-26,170.0,176.8,170.0,176.15,833067.0,HINDUNILVR
