Date,open,high,low,close,volume,dividends,stock_splits,symbol
2015-10-01 00:00:00+05:30,780.2951872238332,783.2473675977293,771.3925860295542,774.6215209960938,633622,0.0,0.0,ASIANPAINT
2015-10-05 00:00:00+05:30,777.712055491901,790.5816790597152,777.15854630307,789.1517333984375,882680,0.0,0.0,ASIANPAINT
2015-10-06 00:00:00+05:30,793.3031514382745,797.177828035482,783.893101899015,787.5833129882812,779669,0.0,0.0,ASIANPAINT
2015-10-07 00:00:00+05:30,788.7826162022818,800.7758021796265,786.1994797149457,798.0542602539062,983606,0.0,0.0,ASIANPAINT
2015-10-08 00:00:00+05:30,798.0080227905539,811.8001958333605,793.3952596530362,806.4494018554688,952597,0.0,0.0,ASIANPAINT
2015-10-09 00:00:00+05:30,808.6176213888695,815.8135227876288,780.6642796235959,787.6756591796875,1362132,0.0,0.0,ASIANPAINT
2015-10-12 00:00:00+05:30,790.627625666006,798.0080469090958,780.5256628278976,792.703369140625,773525,0.0,0.0,ASIANPAINT
2015-10-13 00:00:00+05:30,795.8862018199732,800.5911979264208,790.8582784932656,798.3309326171875,800729,0.0,0.0,ASIANPAINT
2015-10-14 00:00:00+05:30,796.9934261253034,802.1596995392687,793.4415638835646,795.47119140625,404366,0.0,0.0,ASIANPAINT
2015-10-15 00:00:00+05:30,798.9308471424455,810.2321206730402,797.2702631097867,802.6671752929688,623054,0.0,0.0,ASIANPAINT
2015-10-16 00:00:00+05:30,804.4199717253742,816.643797032037,798.5617273218149,814.1528930664062,658119,0.0,0.0,ASIANPAINT
2015-10-19 00:00:00+05:30,814.1528988453961,823.2861946814858,799.8533295172333,811.1546020507812,1247569,0.0,0.0,ASIANPAINT
2015-10-20 00:00:00+05:30,806.311334718828,820.0573971589263,804.9736215860935,807.6490478515625,1806905,0.0,0.0,ASIANPAINT
2015-10-21 00:00:00+05:30,806.3111023038321,813.2763642943688,782.2786144636146,789.935791015625,1442218,0.0,0.0,ASIANPAINT
2015-10-23 00:00:00+05:30,796.1631983872956,799.0230900181443,784.539053703516,792.1039428710938,2540806,0.0,0.0,ASIANPAINT
2015-10-26 00:00:00+05:30,765.7649029252701,778.6345251174556,748.374806019071,754.3713989257812,3455887,0.0,0.0,ASIANPAINT
2015-10-27 00:00:00+05:30,754.6481277016968,765.626527632842,754.6481277016968,763.0433349609375,1247705,0.0,0.0,ASIANPAINT
2015-10-28 00:00:00+05:30,767.2985290847431,775.1611421012835,761.8409280546355,766.2347412109375,1108455,2.2,0.0,ASIANPAINT
2015-10-29 00:00:00+05:30,768.6860234750042,772.2010625915273,758.8809054460194,767.1597290039062,1500496,0.0,0.0,ASIANPAINT
2015-10-30 00:00:00+05:30,772.9410138643525,777.0110945620554,764.4309375191428,768.3622436523438,810491,0.0,0.0,ASIANPAINT
2015-11-02 00:00:00+05:30,768.6859890746994,774.2360684181989,763.598416343158,767.8534545898438,716702,0.0,0.0,ASIANPAINT
2015-11-03 00:00:00+05:30,769.6110378427708,770.2585584210832,751.1570118816779,753.1458129882812,1599110,0.0,0.0,ASIANPAINT
2015-11-04 00:00:00+05:30,753.4232442216515,760.823349751146,740.5192989129307,742.0455932617188,1783909,0.0,0.0,ASIANPAINT
2015-11-05 00:00:00+05:30,746.4857239003787,750.6482836990797,737.3743655909988,745.4219360351562,1016171,0.0,0.0,ASIANPAINT
2015-11-06 00:00:00+05:30,747.9194300736391,754.8107898758127,740.0105783096203,741.12060546875,918564,0.0,0.0,ASIANPAINT
2015-11-09 00:00:00+05:30,731.5930090654354,757.0308736858145,725.4416483102667,755.1808471679688,1163084,0.0,0.0,ASIANPAINT
2015-11-10 00:00:00+05:30,753.6082706765474,754.810776553411,737.0505116957833,737.9755249023438,751899,0.0,0.0,ASIANPAINT
2015-11-13 00:00:00+05:30,746.4857415351852,747.4107548456377,733.0730485336236,740.3806762695312,765985,0.0,0.0,ASIANPAINT
2015-11-16 00:00:00+05:30,736.3105165717743,749.2144621676811,735.5705172940206,740.8893432617188,604535,0.0,0.0,ASIANPAINT
2015-11-17 00:00:00+05:30,746.9019001356643,752.2669652639577,740.3342727121006,747.0869140625,500272,0.0,0.0,ASIANPAINT
2015-11-18 00:00:00+05:30,747.3645871257415,762.6735475898188,746.4858131048924,760.1297607421875,1253226,0.0,0.0,ASIANPAINT
2015-11-19 00:00:00+05:30,764.9859430190847,771.2760217062945,757.6783159014724,761.9334106445312,1038035,0.0,0.0,ASIANPAINT
2015-11-20 00:00:00+05:30,759.8059645161704,769.426069180374,757.1696426761007,767.0210571289062,712339,0.0,0.0,ASIANPAINT
2015-11-23 00:00:00+05:30,775.3460593854736,788.1112299879803,772.3860059154501,786.5386962890625,1475762,0.0,0.0,ASIANPAINT
2015-11-24 00:00:00+05:30,786.2612680976797,797.1301738625593,782.7462290143204,792.3663330078125,771337,0.0,0.0,ASIANPAINT
2015-11-26 00:00:00+05:30,796.4364175616389,801.0152444943385,787.926284270476,797.22265625,678200,0.0,0.0,ASIANPAINT
2015-11-27 00:00:00+05:30,797.9164405546578,799.2114817426657,788.1113222740175,794.6788940429688,444323,0.0,0.0,ASIANPAINT
2015-11-30 00:00:00+05:30,794.5863049483826,794.5863049483826,771.4609759335868,775.62353515625,1679737,0.0,0.0,ASIANPAINT
2015-12-01 00:00:00+05:30,779.7862975275341,784.411364535408,769.2874180029954,781.2662963867188,720255,0.0,0.0,ASIANPAINT
2015-12-02 00:00:00+05:30,784.3651805188433,802.1716897559718,781.4513655148857,784.920166015625,980956,0.0,0.0,ASIANPAINT
2015-12-03 00:00:00+05:30,785.3362046567272,785.5212185878873,776.0860726819719,779.2311401367188,540473,0.0,0.0,ASIANPAINT
2015-12-04 00:00:00+05:30,778.3987835014232,778.3987835014232,767.2523832171048,772.1087036132812,779530,0.0,0.0,ASIANPAINT
2015-12-07 00:00:00+05:30,778.8610735645743,808.32271985658,777.9360604130724,806.1027221679688,1602605,0.0,0.0,ASIANPAINT
2015-12-08 00:00:00+05:30,808.5078658279538,811.606694266594,792.9214142628216,796.2052001953125,1058074,0.0,0.0,ASIANPAINT
2015-12-09 00:00:00+05:30,801.4777824294487,801.4777824294487,774.1898901695785,777.0111694335938,751034,0.0,0.0,ASIANPAINT
2015-12-10 00:00:00+05:30,781.1737767910554,796.6215110814323,779.0462573703252,794.771484375,636140,0.0,0.0,ASIANPAINT
2015-12-11 00:00:00+05:30,796.390205710391,798.795217688286,785.1050322468119,794.0314331054688,780634,0.0,0.0,ASIANPAINT
2015-12-14 00:00:00+05:30,795.5115104376076,812.53177929077,789.0364167479992,809.802978515625,889790,0.0,0.0,ASIANPAINT
2015-12-15 00:00:00+05:30,812.6241097519877,814.0116295751271,801.4777117977662,812.6703491210938,861784,0.0,0.0,ASIANPAINT
2015-12-16 00:00:00+05:30,814.0116657800779,817.6654794351883,794.6788661344697,801.5239868164062,900351,0.0,0.0,ASIANPAINT
2015-12-17 00:00:00+05:30,806.1489538263213,812.6240458249263,799.2113552563874,810.4039916992188,716229,0.0,0.0,ASIANPAINT
2015-12-18 00:00:00+05:30,808.9241634116781,819.4693380394863,802.9115767196531,813.5029907226562,1098597,0.0,0.0,ASIANPAINT
2015-12-21 00:00:00+05:30,813.0866574143845,817.7117237250465,801.7090055818217,807.9990844726562,896692,0.0,0.0,ASIANPAINT
2015-12-22 00:00:00+05:30,808.4615278984944,820.4866993660921,808.0452606714126,814.890380859375,663204,0.0,0.0,ASIANPAINT
2015-12-23 00:00:00+05:30,816.740580889695,817.6655942761812,809.1554598288404,813.04052734375,350212,0.0,0.0,ASIANPAINT
2015-12-24 00:00:00+05:30,814.4742517534803,817.6193197155326,808.0453977023736,815.6767578125,403140,0.0,0.0,ASIANPAINT
2015-12-28 00:00:00+05:30,815.8617451337269,819.7930517287591,811.0054252222167,814.9829711914062,633270,0.0,0.0,ASIANPAINT
2015-12-29 00:00:00+05:30,817.4342687841636,818.6367747887972,812.7166670544495,814.1041870117188,602111,0.0,0.0,ASIANPAINT
2015-12-30 00:00:00+05:30,815.0756385438749,816.7868908734669,809.3867831418839,812.3005981445312,450359,0.0,0.0,ASIANPAINT
2015-12-31 00:00:00+05:30,813.965445971061,820.4405389226557,809.3866189493386,817.2954711914062,526825,0.0,0.0,ASIANPAINT
2016-01-01 00:00:00+05:30,815.8616395692567,819.1916644943726,811.144094848955,812.8553466796875,294006,0.0,0.0,ASIANPAINT
2016-01-04 00:00:00+05:30,810.4966096418731,825.5280747448071,806.3340500749067,814.7516479492188,709103,0.0,0.0,ASIANPAINT
2016-01-05 00:00:00+05:30,815.214299098845,837.1371279966116,815.214299098845,833.1133422851562,1372748,0.0,0.0,ASIANPAINT
2016-01-06 00:00:00+05:30,836.6744798412535,843.5196004354474,817.7117083246745,819.9317626953125,1716479,0.0,0.0,ASIANPAINT
2016-01-07 00:00:00+05:30,816.7866548535458,824.6955064146529,803.8364700653808,806.9352416992188,990333,0.0,0.0,ASIANPAINT
2016-01-08 00:00:00+05:30,813.0866826254135,815.8154831249806,801.6164952359889,809.0166015625,886022,0.0,0.0,ASIANPAINT
2016-01-11 00:00:00+05:30,804.7615364725318,817.7117221169174,796.9914025025689,808.3228149414062,801102,0.0,0.0,ASIANPAINT
2016-01-12 00:00:00+05:30,815.8616898228267,819.0992362110126,804.9465447200374,807.444091796875,998419,0.0,0.0,ASIANPAINT
2016-01-13 00:00:00+05:30,813.965524094855,817.2493102581017,786.3076018208392,803.4203491210938,901426,0.0,0.0,ASIANPAINT
2016-01-14 00:00:00+05:30,798.748921934157,829.7368650549379,787.2787353299999,822.706787109375,2296682,0.0,0.0,ASIANPAINT
2016-01-15 00:00:00+05:30,826.0369268075153,827.8407141431628,808.7391657607526,813.3179931640625,1301590,0.0,0.0,ASIANPAINT
2016-01-18 00:00:00+05:30,823.2617308559888,826.0367703982,778.5373661506812,786.5386962890625,2335330,0.0,0.0,ASIANPAINT
2016-01-19 00:00:00+05:30,802.8191015865971,803.2816082572983,764.0610199984972,782.14501953125,2443365,0.0,0.0,ASIANPAINT
2016-01-20 00:00:00+05:30,771.4610274882276,791.8113183812025,767.7609745985959,777.3348388671875,2247202,0.0,0.0,ASIANPAINT
2016-01-21 00:00:00+05:30,786.2612535939331,791.8113330310667,777.9361344382326,781.12744140625,1138753,0.0,0.0,ASIANPAINT
2016-01-22 00:00:00+05:30,789.0364051426548,807.9067004867277,785.5213656259489,804.7153930664062,1774017,0.0,0.0,ASIANPAINT
2016-01-25 00:00:00+05:30,804.7615828904823,815.8617426544889,803.0503308435307,812.7166748046875,1794107,0.0,0.0,ASIANPAINT
2016-01-27 00:00:00+05:30,814.0116502469025,815.6766627852875,791.0250938431477,794.1701049804688,969509,0.0,0.0,ASIANPAINT
2016-01-28 00:00:00+05:30,789.961394828991,800.1365416007931,788.2501427279761,794.5402221679688,1392051,0.0,0.0,ASIANPAINT
2016-01-29 00:00:00+05:30,799.2114664981622,809.3866124836712,794.5864001411127,804.6690673828125,1320575,0.0,0.0,ASIANPAINT
2016-02-01 00:00:00+05:30,808.6466849995463,823.2618846945925,805.9641236908031,820.8568725585938,786217,0.0,0.0,ASIANPAINT
2016-02-02 00:00:00+05:30,823.1694011451586,827.6556933005876,812.1617197182632,816.3242797851562,920875,0.0,0.0,ASIANPAINT
2016-02-03 00:00:00+05:30,810.4967494901417,817.6656033146545,794.6327471532073,798.93408203125,540771,0.0,0.0,ASIANPAINT
2016-02-04 00:00:00+05:30,800.1365314653448,828.7657053568408,800.1365314653448,822.6605834960938,1658831,0.0,0.0,ASIANPAINT
2016-02-05 00:00:00+05:30,822.3367903292892,835.7032432635401,819.931778430218,831.8181762695312,1739178,0.0,0.0,ASIANPAINT
2016-02-08 00:00:00+05:30,835.2868869473093,839.4494461845883,819.5616631620334,821.9666748046875,783143,0.0,0.0,ASIANPAINT
2016-02-09 00:00:00+05:30,818.5443101670139,827.2394015076168,812.6242023305047,817.8967895507812,636386,0.0,0.0,ASIANPAINT
2016-02-10 00:00:00+05:30,821.8743553115836,822.3368619831151,801.5240617641949,810.8204345703125,707101,0.0,0.0,ASIANPAINT
2016-02-11 00:00:00+05:30,809.155366193457,809.155366193457,788.1113140861107,791.5338745117188,1004015,0.0,0.0,ASIANPAINT
2016-02-12 00:00:00+05:30,795.5113680741806,807.7677932218352,783.0236896218534,790.7938232421875,1089266,0.0,0.0,ASIANPAINT
2016-02-15 00:00:00+05:30,801.0614228889012,806.796515961064,789.0362514136636,794.308837890625,703958,0.0,0.0,ASIANPAINT
2016-02-16 00:00:00+05:30,790.9326430185827,795.6502449153152,773.4036289794985,777.2886962890625,985215,0.0,0.0,ASIANPAINT
2016-02-17 00:00:00+05:30,780.7111211758908,794.5400794599484,765.0783759055084,791.811279296875,1171983,0.0,0.0,ASIANPAINT
2016-02-18 00:00:00+05:30,797.3614767577541,799.026489431475,768.3160361115517,772.6173706054688,997874,0.0,0.0,ASIANPAINT
2016-02-19 00:00:00+05:30,772.3399931103758,792.6440496753186,766.8361517787995,790.6090087890625,799360,0.0,0.0,ASIANPAINT
2016-02-22 00:00:00+05:30,791.8114859217188,807.7217280052715,789.9614590854532,805.5479125976562,609601,0.0,0.0,ASIANPAINT
2016-02-23 00:00:00+05:30,805.6866039136263,813.9192450673742,801.2003118827446,811.3291625976562,1438921,0.0,0.0,ASIANPAINT
2016-02-24 00:00:00+05:30,813.0867317334573,819.3305718235606,809.3866783467294,815.6767578125,1289097,0.0,0.0,ASIANPAINT
2016-02-25 00:00:00+05:30,814.4741610286885,818.5442418840539,794.3088836089113,797.0839233398438,1326303,0.0,0.0,ASIANPAINT
2016-02-26 00:00:00+05:30,802.9115117945992,808.4615913692163,790.1463400646458,797.8701782226562,536753,0.0,0.0,ASIANPAINT
2016-02-29 00:00:00+05:30,799.3039249868837,803.7902731145314,778.4911269075759,782.6536865234375,890886,0.0,0.0,ASIANPAINT
2016-03-01 00:00:00+05:30,788.6662675102981,809.0628546621404,786.2612556645377,806.5653076171875,1161059,0.0,0.0,ASIANPAINT
2016-03-02 00:00:00+05:30,810.3116672115505,814.8904944309535,801.5240406835713,806.4728393554688,808137,0.0,0.0,ASIANPAINT
2016-03-03 00:00:00+05:30,808.8316149487816,829.2743853563884,806.3803072330526,814.242919921875,1061326,0.0,0.0,ASIANPAINT
2016-03-04 00:00:00+05:30,820.1167292550373,823.3542756473611,794.0314006321197,800.87646484375,1039977,0.0,0.0,ASIANPAINT
2016-03-08 00:00:00+05:30,802.8190265553909,815.676676924214,793.7076121191254,810.0341186523438,1174011,0.0,0.0,ASIANPAINT
2016-03-09 00:00:00+05:30,810.3116291196901,822.1517877512342,804.6227748935659,810.4966430664062,1401934,0.0,0.0,ASIANPAINT
2016-03-10 00:00:00+05:30,804.7615607646164,828.8119062587315,804.7615607646164,827.6556396484375,810951,0.0,0.0,ASIANPAINT
2016-03-11 00:00:00+05:30,832.5120123794669,835.9345730553604,824.6956383049039,830.9857177734375,1043602,0.0,0.0,ASIANPAINT
2016-03-14 00:00:00+05:30,830.6619601695289,835.4720407183019,821.9668123906574,831.9107055664062,788258,0.0,0.0,ASIANPAINT
2016-03-15 00:00:00+05:30,835.2870528464008,838.5245995628597,810.4504670477568,818.2667846679688,954046,0.0,0.0,ASIANPAINT
2016-03-16 00:00:00+05:30,814.2891148252133,815.8616485687684,797.4538631662562,800.0439453125,1456263,0.0,0.0,ASIANPAINT
2016-03-17 00:00:00+05:30,804.7614669394823,810.3115460218236,800.2288797722407,807.1202392578125,965277,0.0,0.0,ASIANPAINT
2016-03-18 00:00:00+05:30,805.6866028194358,812.0692173194786,795.4652169111544,809.7103881835938,1072444,0.0,0.0,ASIANPAINT
2016-03-21 00:00:00+05:30,807.7679030418249,809.386676394614,788.4813973933553,795.187744140625,1484160,0.0,0.0,ASIANPAINT
2016-03-22 00:00:00+05:30,795.5114686875013,795.5114686875013,782.6075213630547,789.360107421875,1746522,0.0,0.0,ASIANPAINT
2016-03-23 00:00:00+05:30,789.3601246980884,792.6439672783017,782.7925524543314,786.2613525390625,917099,0.0,0.0,ASIANPAINT
2016-03-28 00:00:00+05:30,786.2612639605102,793.1526239774768,779.5086785146326,782.0062255859375,1722071,0.0,0.0,ASIANPAINT
2016-03-29 00:00:00+05:30,783.8561781939652,795.5113214835343,781.6361240157983,791.9037475585938,1101097,0.0,0.0,ASIANPAINT
2016-03-30 00:00:00+05:30,799.2114366950138,818.6367146702398,797.2226356523145,815.722900390625,1470782,0.0,0.0,ASIANPAINT
2016-03-31 00:00:00+05:30,814.4741313982013,817.9429309356723,800.2289053809899,803.281494140625,1682214,0.0,0.0,ASIANPAINT
2016-04-01 00:00:00+05:30,805.6866100092044,817.6655439181146,800.1365300321031,804.7615966796875,853331,0.0,0.0,ASIANPAINT
2016-04-04 00:00:00+05:30,808.4614467070771,821.8741366124005,800.3675821090372,819.7003784179688,662760,0.0,0.0,ASIANPAINT
2016-04-05 00:00:00+05:30,819.0069290814175,819.0069290814175,797.3615918244253,804.6229248046875,762479,0.0,0.0,ASIANPAINT
2016-04-06 00:00:00+05:30,804.4840725044213,809.3866316674264,796.1127134914129,798.56396484375,451307,0.0,0.0,ASIANPAINT
2016-04-07 00:00:00+05:30,799.2115883520245,803.8366554142468,790.9327070189788,793.8927612304688,449770,0.0,0.0,ASIANPAINT
2016-04-08 00:00:00+05:30,795.5113804352774,796.852660914886,785.8912202280779,787.6950073242188,448087,0.0,0.0,ASIANPAINT
2016-04-11 00:00:00+05:30,786.2612205327944,797.2689002035836,779.5548748282499,795.5113525390625,651373,0.0,0.0,ASIANPAINT
2016-04-12 00:00:00+05:30,797.1763806428795,804.7615003284451,795.0488615313776,801.8939819335938,433486,0.0,0.0,ASIANPAINT
2016-04-13 00:00:00+05:30,805.224121574691,810.3116950022164,801.0615614976249,808.785400390625,692424,0.0,0.0,ASIANPAINT
2016-04-18 00:00:00+05:30,817.9428814854076,820.0704004481015,809.3865098102705,818.8216552734375,685762,0.0,0.0,ASIANPAINT
2016-04-20 00:00:00+05:30,818.6367706710429,821.1805572465744,809.6178909941585,819.3767700195312,778272,0.0,0.0,ASIANPAINT
2016-04-21 00:00:00+05:30,823.2618857408727,827.8869525146978,818.7292977191902,822.4756469726562,702226,0.0,0.0,ASIANPAINT
2016-04-22 00:00:00+05:30,819.2842109628716,826.6843166390256,804.2065069393728,806.1952514648438,692414,0.0,0.0,ASIANPAINT
2016-04-25 00:00:00+05:30,805.1315137350563,805.1315137350563,791.8113010407601,797.130126953125,587700,0.0,0.0,ASIANPAINT
2016-04-26 00:00:00+05:30,799.3964851316048,814.0116836139159,794.6326441725778,811.1441650390625,694778,0.0,0.0,ASIANPAINT
2016-04-27 00:00:00+05:30,810.0341428022143,824.1868347332403,805.6865690826626,823.123046875,553126,0.0,0.0,ASIANPAINT
2016-04-28 00:00:00+05:30,823.1228755066238,827.4242089582079,804.7613882544896,807.62890625,1013142,0.0,0.0,ASIANPAINT
2016-04-29 00:00:00+05:30,807.5366870434253,810.3117272050866,797.0378076818082,801.2928466796875,955985,0.0,0.0,ASIANPAINT
2016-05-02 00:00:00+05:30,799.2114777149335,802.4490242103064,796.1127057955515,799.9514770507812,199724,0.0,0.0,ASIANPAINT
2016-05-03 00:00:00+05:30,804.2990390882579,820.3942925860644,800.5065072607077,806.611572265625,1073196,0.0,0.0,ASIANPAINT
2016-05-04 00:00:00+05:30,806.6114931941187,813.0865854559981,799.2113877519708,808.0914916992188,469904,0.0,0.0,ASIANPAINT
2016-05-05 00:00:00+05:30,808.5541083961926,809.8029102346082,797.7777372535604,802.0327758789062,402567,0.0,0.0,ASIANPAINT
2016-05-06 00:00:00+05:30,799.165304887558,823.261891660794,796.8990108604203,822.3831176757812,1249025,0.0,0.0,ASIANPAINT
2016-05-09 00:00:00+05:30,827.8406939711869,845.3697079297924,826.6381879295016,838.6170654296875,1355429,0.0,0.0,ASIANPAINT
2016-05-10 00:00:00+05:30,837.0908397392208,840.1433724929453,826.4531862477054,830.9857177734375,1034271,0.0,0.0,ASIANPAINT
2016-05-11 00:00:00+05:30,825.1118769704402,850.0872364751508,820.9493170529885,839.7733154296875,2228431,0.0,0.0,ASIANPAINT
2016-05-12 00:00:00+05:30,851.0121775258274,863.8698840956899,848.4221517554578,859.1522827148438,2382775,0.0,0.0,ASIANPAINT
2016-05-13 00:00:00+05:30,859.1060135813487,876.912517765942,858.042225812965,872.8887329101562,2285317,0.0,0.0,ASIANPAINT
2016-05-16 00:00:00+05:30,877.791428575818,885.9777741288084,874.1376145566393,881.2139892578125,1913343,0.0,0.0,ASIANPAINT
2016-05-17 00:00:00+05:30,882.0001009017202,899.112845386966,876.6812749130628,896.9390869140625,1770437,0.0,0.0,ASIANPAINT
2016-05-18 00:00:00+05:30,896.3378693347715,898.187895896866,881.0289108251059,891.01904296875,1273835,0.0,0.0,ASIANPAINT
2016-05-19 00:00:00+05:30,896.1991336030694,896.1991336030694,880.6589210995854,885.052734375,1251713,0.0,0.0,ASIANPAINT
2016-05-20 00:00:00+05:30,884.3126220703125,890.7877144913294,879.4563027545498,884.3126220703125,972841,0.0,0.0,ASIANPAINT
2016-05-23 00:00:00+05:30,887.9202755781234,888.0127543233666,872.888809684629,875.6175537109375,726047,0.0,0.0,ASIANPAINT
2016-05-24 00:00:00+05:30,880.9826059932569,890.2327381164187,871.0849533298086,884.5438842773438,490332,0.0,0.0,ASIANPAINT
2016-05-25 00:00:00+05:30,890.9266280021246,911.1381470565426,890.6028394555811,908.5943603515625,815313,0.0,0.0,ASIANPAINT
2016-05-26 00:00:00+05:30,914.4218328149972,924.5507391478524,900.4541553871902,917.474365234375,1410903,0.0,0.0,ASIANPAINT
2016-05-27 00:00:00+05:30,917.5205980557384,926.6781946850053,912.4792649208187,923.3944091796875,1105534,0.0,0.0,ASIANPAINT
2016-05-30 00:00:00+05:30,919.4632530442282,928.9446397079137,905.0793070070843,911.045654296875,1487177,0.0,0.0,ASIANPAINT
2016-05-31 00:00:00+05:30,913.913326791351,920.8509279562652,907.1607396158365,910.99951171875,1151373,0.0,0.0,ASIANPAINT
2016-06-01 00:00:00+05:30,914.8844131155138,948.1386532706737,914.8844131155138,945.0861206054688,2068760,0.0,0.0,ASIANPAINT
2016-06-02 00:00:00+05:30,931.4883662187875,951.8386582315118,921.8219662210776,947.2598876953125,2420319,0.0,0.0,ASIANPAINT
2016-06-03 00:00:00+05:30,946.7510686658273,954.7061600937574,937.5009360945932,948.4161376953125,2045789,0.0,0.0,ASIANPAINT
2016-06-06 00:00:00+05:30,940.8309360010198,954.9373877937751,940.3684293848639,949.3411254882812,1574228,0.0,0.0,ASIANPAINT
2016-06-07 00:00:00+05:30,948.4623740454817,959.6550125039481,947.7686140635521,955.3074951171875,755934,0.0,0.0,ASIANPAINT
2016-06-08 00:00:00+05:30,951.8386230569306,951.8386230569306,935.4196380625083,941.709716796875,933533,0.0,0.0,ASIANPAINT
2016-06-09 00:00:00+05:30,941.6635256700561,942.5885389565689,921.0357406724862,923.9032592773438,1024252,0.0,0.0,ASIANPAINT
2016-06-10 00:00:00+05:30,920.3420461683017,924.0883389534733,915.3931908584652,917.6594848632812,1313970,0.0,0.0,ASIANPAINT
2016-06-13 00:00:00+05:30,912.9880879917243,921.7757139653023,911.2305402136773,920.2957153320312,808571,0.0,0.0,ASIANPAINT
2016-06-14 00:00:00+05:30,920.3881248168636,924.0881775799464,905.217885904894,912.5255126953125,699283,0.0,0.0,ASIANPAINT
2016-06-15 00:00:00+05:30,912.0631373952441,926.8633505781283,912.0631373952441,923.5333251953125,731016,0.0,0.0,ASIANPAINT
2016-06-16 00:00:00+05:30,924.137668827501,938.3194041227155,917.1165587709776,936.041015625,740810,5.3,0.0,ASIANPAINT
2016-06-17 00:00:00+05:30,939.2493823518025,943.7596165830037,924.3701842155364,929.577880859375,365441,0.0,0.0,ASIANPAINT
2016-06-20 00:00:00+05:30,925.2536877089951,927.160073700182,917.1631120228732,922.0453491210938,627622,0.0,0.0,ASIANPAINT
2016-06-21 00:00:00+05:30,920.6503760400852,921.5803259148732,908.7470289947264,913.2572631835938,712870,0.0,0.0,ASIANPAINT
2016-06-22 00:00:00+05:30,911.3509508743955,920.1389892526124,909.9560259495877,916.419189453125,507154,0.0,0.0,ASIANPAINT
