date,open,high,low,close,volume,symbol
2005-01-03,218.9,230.0,217.8501,227.85,1348128.0,BHARTIARTL
2005-01-04,228.0001,233.0,221.0001,225.9001,8930024.0,BHARTIARTL
2005-01-05,226.0001,226.0001,204.0,210.2001,3022659.0,BHARTIARTL
2005-01-06,210.0001,218.0,209.6501,211.0001,3614200.0,BHARTIARTL
2005-01-07,210.0001,214.0,199.5,210.6001,3764104.0,BHARTIARTL
2005-01-10,210.0001,210.0001,199.5,202.7001,2312618.0,BHARTIARTL
2005-01-11,202.0001,204.9001,198.0999,199.9,2965881.0,BHARTIARTL
2005-01-12,201.1,202.95,194.0,195.4,860616.0,BHARTIARTL
2005-01-13,197.9,214.7001,194.4,207.65,7889797.0,BHARTIARTL
2005-01-14,210.0001,220.35,203.6,210.3,6092707.0,BHARTIARTL
2005-01-17,211.9,214.9,208.4501,210.6501,1250515.0,BHARTIARTL
2005-01-18,210.0001,215.7001,210.0001,214.7501,2543823.0,BHARTIARTL
2005-01-19,215.0,215.0,210.0001,211.6501,476292.0,BHARTIARTL
2005-01-20,212.0001,212.0001,196.45,200.8001,1800007.0,BHARTIARTL
2005-01-24,202.0001,206.95,196.0,198.3,1834754.0,BHARTIARTL
2005-01-25,200.0,204.4501,198.0,203.3,533849.0,BHARTIARTL
2005-01-27,205.0,212.0001,199.0,209.7501,5658053.0,BHARTIARTL
2005-01-28,211.35,221.5,210.0001,220.1,3454982.0,BHARTIARTL
2005-01-31,222.4501,235.9501,222.4501,230.35,4591150.0,BHARTIARTL
2005-02-01,231.0,232.7001,220.0001,222.35,2407356.0,BHARTIARTL
2005-02-02,227.0001,228.7,215.9501,219.0501,165027973.0,BHARTIARTL
2005-02-03,219.9,225.3001,216.75,219.4,4327681.0,BHARTIARTL
2005-02-04,220.0001,223.0,215.1,217.45,1777111.0,BHARTIARTL
2005-02-07,220.0001,224.75,218.5501,220.75,2192144.0,BHARTIARTL
2005-02-08,220.0001,220.0001,214.4501,214.8501,2023684.0,BHARTIARTL
2005-02-09,216.0,216.0,208.15,209.4001,2443350.0,BHARTIARTL
2005-02-10,210.5,213.0,202.5001,205.1001,2556308.0,BHARTIARTL
2005-02-11,206.5,209.9001,206.0,208.65,701003.0,BHARTIARTL
2005-02-14,209.9001,218.1501,209.9001,214.8,1776995.0,BHARTIARTL
2005-02-15,214.0,220.5001,213.2501,219.85,15324029.0,BHARTIARTL
2005-02-16,220.0501,220.0501,213.2501,214.7501,1186879.0,BHARTIARTL
2005-02-17,216.0,216.0,208.2001,210.25,1243564.0,BHARTIARTL
2005-02-18,214.9,220.2501,208.7,218.1501,3646194.0,BHARTIARTL
2005-02-21,218.1501,220.0001,214.3001,215.0,994757.0,BHARTIARTL
2005-02-22,215.0,216.9501,214.0,214.7001,437994.0,BHARTIARTL
2005-02-23,215.5001,217.9,213.0,215.0,1057716.0,BHARTIARTL
2005-02-24,215.1,215.7501,210.8501,213.5001,2628389.0,BHARTIARTL
2005-02-25,215.0,220.6001,214.3001,219.85,5800129.0,BHARTIARTL
2005-02-28,218.5,226.0001,218.5,225.1001,3157042.0,BHARTIARTL
2005-03-01,225.0,225.0,217.9,223.75,1085629.0,BHARTIARTL
2005-03-02,220.0001,240.7001,220.0001,235.9501,7402124.0,BHARTIARTL
2005-03-03,236.0,237.1001,231.55,235.1001,2447573.0,BHARTIARTL
2005-03-04,235.0,239.9,233.5001,235.9501,2703032.0,BHARTIARTL
2005-03-07,236.0,236.0,228.9,230.15,2327757.0,BHARTIARTL
2005-03-08,231.9,233.5001,228.0001,229.9,860048.0,BHARTIARTL
2005-03-09,231.0,233.0,226.05,229.7501,972289.0,BHARTIARTL
2005-03-10,228.0001,229.1001,222.3,223.1501,3200924.0,BHARTIARTL
2005-03-11,225.15,229.9,221.0001,225.45,1030973.0,BHARTIARTL
2005-03-14,218.0,234.1,218.0,222.1501,252297959.0,BHARTIARTL
2005-03-15,222.0001,223.3,215.0,216.45,1265371.0,BHARTIARTL
2005-03-16,215.5001,215.5001,209.0001,209.5501,1396200.0,BHARTIARTL
2005-03-17,207.5,207.5,195.8,198.8,1977243.0,BHARTIARTL
2005-03-18,201.5001,210.0001,198.9501,207.6999,1353244.0,BHARTIARTL
2005-03-21,209.8,213.3001,209.8,212.0001,429873.0,BHARTIARTL
2005-03-22,214.8,215.0,208.0001,212.3001,642785.0,BHARTIARTL
2005-03-23,213.0,216.5001,210.0001,214.4501,917986.0,BHARTIARTL
2005-03-24,214.0,214.9,211.75,213.55,1126293.0,BHARTIARTL
2005-03-28,212.0001,215.0,209.0001,210.55,470837.0,BHARTIARTL
2005-03-29,209.25,211.0001,205.2501,206.2,421459.0,BHARTIARTL
2005-03-30,209.0001,209.0001,199.5,202.7001,710288.0,BHARTIARTL
2005-03-31,204.0,209.0001,204.0,206.85,310625.0,BHARTIARTL
2005-04-01,210.0001,217.8001,206.9001,216.55,669273.0,BHARTIARTL
2005-04-04,219.0001,219.4,213.0,215.7001,278572.0,BHARTIARTL
2005-04-05,215.0,218.0,210.25,217.25,478352.0,BHARTIARTL
